_id,idpalabra,letra,palabra,descripcion
189,189,A,alaska native,akisalistli
190,190,A,albanian,albanekatl
191,191,A,albino,tlakatastali
192,192,A,alburgue,tesililoyan
193,193,A,alcatraz flower,kanauxochitl
194,194,A,alcohol,techichik
195,195,A,alcoholic,techiuikki
196,196,A,alcoholic beverage,komili
197,197,A,alder,aititl
198,198,A,alecena,kuautlauankali
199,199,A,alegria,paktli
200,200,A,aleppo,auauatl
201,201,A,alexandria,kakaloxochitl
202,202,A,alhondiga,tlaosentlatiloyan
203,203,A,alien,tetlatkini
204,204,A,alieneacion,pantilistli
205,205,A,alineto,ijyotl
206,206,A,alive,yoli
207,207,A,all,inochin
208,208,A,all day,semiluik
209,209,A,all of us,timochintin
210,210,A,all of you,nanmochtsitsintin
211,211,A,alla,ompa
212,212,A,alleged,atlamati
213,213,A,alley,kaltsalantli
214,214,A,alli,ne
215,215,A,almancen,tlapiakali
216,216,A,almoner,tetlautiani
217,217,A,almost,aski
218,218,A,almoya,almoloyan
219,219,A,alms,tetlautilistli
220,220,A,"aloe, aloe",uitsmetl
221,221,A,alohamiento,tesilistli
222,222,A,alpaca,alpakatl
223,223,A,alphabet,machiotlajtololistli
224,224,A,alphabetize,machiotlajtoa
225,225,A,alpine,tepeyo
226,226,A,already,yej
227,227,A,also,le
228,228,A,altar,momostli
229,229,A,altar boy,tlamasteokaltoni
230,230,A,altar craneos,tsompantli
231,231,A,alter,kolonia
232,232,A,alteration,nekomonilistli
233,233,A,although,maski
234,234,A,altma boarding sea,akalasa
235,235,A,aluminum,teposkuitlatl
236,236,A,always,mochipan
237,237,A,amalucar,amalokan
238,238,A,amaranth,uautli
239,239,A,amarrillo,kostik
240,240,A,amate,amakuauitl
241,241,A,amateur,itechmomaki
242,242,A,amatlan nayarit,amatlan
243,243,A,ambassador,titlantli
244,244,A,amber,aposonali
245,245,A,ambidextrous,nekokmomatki
246,246,A,amen,mayumochiua
247,247,A,american lioness,siuamistli
248,248,A,american maguey,ketsalmetl
249,249,A,amid,tlajkoyan
250,250,A,amid among,tsala
251,251,A,among the trees amate,amatitlán
252,252,A,among themselves,intsalan
253,253,A,ampoule,axitomoktli
254,254,A,amuse,mauisoa
255,255,A,anahuac,anauak
256,256,A,anahuac legend,anauakatlajtoke
257,257,A,analfabetizmo,amatkiyotl
258,258,A,analysis,ijitlakolistli
259,259,A,analyze,ijitlakoa
260,260,A,analyzed,ijitlakoli
261,261,A,anaphrodisia,tlaniktilistli
262,262,A,anatomy,tonakayolistli
263,263,A,ancestral bathroom,tematskali
264,264,A,anchor,akachikoli
265,265,A,ancient mexican culture,ueuemexikayotl
266,266,A,ancient word,tlaekaketsaloni
267,267,A,"and , and",au
268,268,A,"and e, with , in union with , in company",uan
269,269,A,and finally,au satlatsakkan
270,270,A,and it is night,yej tiayouak
271,271,A,and old,ilamaja
272,272,A,andalucia,andaloxia
273,273,A,andalusian,andaloxi
274,274,A,andante throne,tlakaikpali
275,275,A,andorran,andorra
276,276,A,anemia,tolichtli
277,277,A,anemic,tolichtik
278,278,A,angel,anxeli
279,279,A,angel fish,auilouitl
280,280,A,anger,kualania
281,281,A,angle,kampa
282,282,A,angry,kualanki
283,283,A,anguish,netekipachololistli
284,284,A,animal,yolkatl
285,285,A,animal aquatic,atlanemini
286,286,A,animalejo,yolkapoli
287,287,A,animalillo,yolkatontli
288,288,A,animals,yolkamej
289,289,A,ankle,iyicxicoyol
290,290,A,ankle meat,kekeyolnakatl
291,291,A,annihilate,atletia
292,292,A,anniversary,senuauetilistli
293,293,A,annoying,atekauki
294,294,A,anointed with oil,tlaoxitl
295,295,A,"anointed, penitent",teosali
296,296,A,anointing,teosatilistli
297,297,A,another cheer,pakilia
298,298,A,answer,kopiltlajtoli
299,299,A,answered,tenankilili
300,300,A,answering,tenankiliani
301,301,A,ant,askatl
302,302,A,ant queen,tlaletsatl
303,303,A,ant-eater,osloa
304,304,A,antelope,kuakuaumasatl
305,305,A,anthill,askapotsali
306,306,A,anthropologist,tlakayomatini
307,307,A,anthropology,tlakayomatilistli
308,308,A,antier,yauiptla
309,309,A,antique,nenkan
310,310,A,antler,sakamoli
311,311,A,antojeria,neikoluayan
312,312,A,antopomorfo,tlakamachiyo
313,313,A,anus,itzinxapoyo
314,314,A,anvil,tepostlatsonaloni
315,315,A,any,aka
316,316,A,any matter,achitlamentli
317,317,A,anybody,akinsaso
318,318,A,anywhere,makanapa
319,319,A,apache,apachtli
320,320,A,apaludir,matsatsini
321,321,A,apapachar,apapachoa
322,322,A,apart,amo sekkan
323,323,A,apatzingan,apantsinkan
324,324,A,apizaco,apitsauko
325,325,A,aposionar,komoni
326,326,A,apostle,apoxtoli
327,327,A,apparatus,tlakuanili
328,328,A,appeal,kualtoka
329,329,A,appear,nesi
330,330,A,appearance,ixpeyajitalisti
331,331,A,appeared,nesitli
332,332,A,appendix,pili
333,333,A,apple,mantsanatl
334,334,A,apple adan,salatli
335,335,A,applied for,tlasiuitili
336,336,A,appreciate,uelkamati
337,337,A,appreciated,uelkamatili
338,338,A,appreciation,uelkamatilistli
339,339,A,approach,axitialistli
340,340,A,appropriate,inamik
341,341,A,approval,yolnanqulistli
342,342,A,approve,yolnankilia
343,343,A,approved,yolnankilili
344,344,A,apresiar,tlanteyotia
345,345,A,april,abrili 
346,346,A,apurate,isaja
347,347,A,aqua,xiutik
348,348,A,aquarium,auakoyan
349,349,A,aquatic diso,atonatiu
350,350,A,aquatic dove,uilotl
351,351,A,aquatic lizard,akuetsapalin
352,352,A,aquatic snake,akoatl
353,353,A,aquatic tiger,aoselotl
354,354,A,aqueduct,anxelin
355,355,A,aquifer mantle,meyatl
356,356,A,aquiline nose,yakatl
357,357,A,"ar , er, ir",xi
358,358,A,aracnio,pepeyoktli
359,359,A,araucaria,akxoyaokotl
360,360,A,arbutus,tomaiskitl
361,361,A,arc,uitoliuki
362,362,A,arcade,uitoliunkoyan
363,363,A,archaeologist,tepaltlajtomatini
364,364,A,archbishop,teopixkatlajtoani
365,365,A,archbishopric,teopiskateokali
366,366,A,archeology,tepaltlajtomatilistli
367,367,A,archery,tlauitoli
368,368,A,archipelago,ayoualtlaltin
369,369,A,architect,kalmanani
370,370,A,architectural,kalmanayo
371,371,A,architecture,kalmanayotl
372,372,A,archivolted,tlanololi
373,373,A,ardillon,mototli
374,374,A,aretillo,atexochitl
375,375,A,aridoamérica,sakachichimekapan
376,376,A,arm,akolmaitl
377,377,A,armadillo,ayotochtin
378,378,A,armadillo shell,ayokalotl
379,379,A,armchair,tsatsasikpali
380,380,A,armor,tlatekpilotolistli
381,381,A,armpit,siyakatl
382,382,A,arms,teyaochiualistli
383,383,A,aroma,inekistli
384,384,A,aromatic,auiyak
385,385,A,aromatinzate,popochtli
386,386,A,aromatize,auialia
387,387,A,arpon,atlatl
388,388,A,arquebus,metlekikilistli
389,389,A,arquiteconico style,tlakitki
390,390,A,arrangement,tlayektilistli
391,391,A,arrested,tlauejkauak
392,392,A,arrived,ualalistli
393,393,A,arrogance,nakastsonteyotl
394,394,A,arrogant look,somatl
395,395,A,arrow,mitl
396,396,A,art,toltekayotl
397,397,A,art of writing,tlakuilokayotl
398,398,A,artery,eskoli
399,399,A,article,inik
400,400,A,articulation of the fingers,mapilistli
401,401,A,artificial,tlatoltekauili
402,402,A,artillery,tekikilistli
403,403,A,artisanal,amantoli
404,404,A,artist,tlakuikani
405,405,A,as,kemej
406,406,A,as many as,keskintin
407,407,A,as soon as,in oyu
408,408,A,asalariar,tlaxtlauia
409,409,A,ascarmentar,senmixnauatia
410,410,A,ash,nexakatl
411,411,A,ashamed,pinauali
412,412,A,ashes,cuanex
413,413,A,ashtray,nexkaxitl
414,414,A,ask,tlania
415,415,A,asleep,kochini
416,416,A,aspera blanket,ayapopoli
417,417,A,asphyxia,itomikistli
418,418,A,asphyxiated,iyomikki
419,419,A,asshole,kuakuautensonpoli
420,420,A,assistant,tepantilo
421,421,A,associated,nechikoli
422,422,A,astestiguar,melaua
423,423,A,asthma,ixikali
424,424,A,astrologer,sitlalmatini
425,425,A,astrology,sitlaltlamatilistli
426,426,A,astronaut,sitlalteposakalteyakanki
427,427,A,astronomical observatory,tsakualiluikali
428,428,A,asuncion,tlekoliskayotl
429,429,A,at a time,aokmo uakau
430,430,A,at least at least,nenkayotl
431,431,A,at night,youak
432,432,A,at the foot of,ijxipan
433,433,A,at variance,moueteuatli
434,434,A,atemoztli,atemostli
435,435,A,atheism,atle teoyotl
436,436,A,atheist,amosankenani
437,437,A,athens,atenia
438,438,A,athlete,painalton
439,439,A,athletics,senetlalolistli
440,440,A,atitalaquia,atlitalakiak
441,441,A,atlacahualo,atlakaualo
442,442,A,atlacomulco,atlakomolko
443,443,A,atlantic ocean,oseania
444,444,A,atlantida,atlantiko
445,445,A,atlas,atlantekatl
446,446,A,atlixco puebla,atlixko
447,447,A,atmosphere,ejekalistli
448,448,A,atole,atoli
449,449,A,atole fruit,xokoatoli
450,450,A,atolero,atolchiuki
451,451,A,atom,achitotontsin
452,452,A,atotonilco,atotonilko
453,453,A,atoyac,atoyak
454,454,A,attached,kapanki
455,455,A,attaching years,xiumolpili
456,456,A,attack,petlachiuki
457,457,A,attempt,yukateyolistli
458,458,A,attention,tlayeuakalistli
459,459,A,attentive,inani
460,460,A,attested,temelauani
461,461,A,attic,tlapanko
462,462,A,attired,motopalketski
463,463,A,attorney,tlataluiani
464,464,A,attract,tlatlakouiloa
465,465,A,attracted,tlatlakouiloni
466,466,A,attribute,tenamaktli
467,467,A,atzcapotzalco,askapotsalko
468,468,A,audacious,ixtlapaltik
469,469,A,audacity,siuatekuanotl
470,470,A,audience,poualtlajtoli
471,471,A,auger,tlamamaliuani
472,472,A,augury,titsauitl
473,473,A,august,agoxto
474,474,A,augustinian,agustín teopixki
475,475,A,authorities,tekiuake
476,476,A,authority,tekiuak
477,477,A,auto,teposmalakatl
478,478,A,autodidact,momoachtiani
479,479,A,autumn,tlauetsiyok
480,480,A,autumnal,tonalkayotl
481,481,A,avarice,anekonatlanilistli
482,482,A,ave color,totopili
483,483,A,avenue,altepeojtli
484,484,A,avgaves,memej
485,485,A,aviator,akalpatlatini
486,486,A,avion,tepospatlanki
487,487,A,avocado,auakatli
488,488,A,avocados,auakatin
489,489,A,avocet,akoatototl
490,490,A,awake,istok
491,491,A,awakening,isitia
492,492,A,award,techtia
493,493,A,awarded,tetechtili: adjudicado
494,494,A,awareness,yolixtli
495,495,A,away,huejca
496,496,A,ax,tlaximaltepostli
497,497,A,axayacatl,axayakatl
498,498,A,axer,maxeloni
499,499,A,axis,sentlasotl
500,500,A,axolotl,axolotl
501,501,A,ayala,mapachtlan
502,502,A,azacualpa,atsakualpan
503,503,A,aztec ball game,netemiuilistli
504,504,A,aztec ball game play,olamia
505,505,A,aztec ball player,olamani
506,506,A,aztec calendar,tonalpouali
507,507,A,aztec empire,astekatlajtokayotl
508,508,A,aztec purgatory,akolnauak
509,509,A,aztec vest,xikoli
510,510,A,aztecs,astekaj
511,511,A,aztlan,astlan
512,512,B,back,ikampa
513,513,B,back home,kaltsa
514,514,B,back meat,elnakatl
515,515,B,backbone,akolchimali
516,516,B,background,kueitl
517,517,B,backpack,euaitakatl
518,518,B,backpacks,pepetla
519,519,B,backwards,itepotztajpa
520,520,B,bacon,koyamenakauastli
521,521,B,bad,amokuali
522,522,B,bad breath,kamapotonilistli
523,523,B,bad ruler,atlakatlajtoani
524,524,B,bad weather,ayekkan
525,525,B,bag,xikipili
526,526,B,bahia,anepalko
527,527,B,baja california sur,mexikatl kalifornia uitstlan
528,528,B,bake,uisi
529,529,B,baked bread,kaxtiltsompanxochitl
530,530,B,baker,tlaxkalchiuayan
531,531,B,bakery,tlatlaxkali
532,532,B,balcony,ojtlachialotl
533,533,B,bald,kuaxipetstik
534,534,B,balearic island,tlaluake baleariaj
535,535,B,baleful,tlachikochiutli
536,536,B,ball,tlachtli
537,537,B,ball of yarn,tlatetektli
538,538,B,ballast,akaltetlalinkatekoni
539,539,B,ballcourt,teotlachtli
540,540,B,ballet,netotilistli
541,541,B,balloon,tapayoli
542,542,B,balncura,astapiltik
543,543,B,balsamo,uitsiloxitl
544,544,B,bamboo,akapitsaktli
545,545,B,ban,achiualistli
546,546,B,banana,tsapalolkuauitl
547,547,B,band,ikniuan
548,548,B,bandurria,mekaueuetontli
549,549,B,banish,totokki
550,550,B,bank,tlakoualokoyan
551,551,B,banking,ueyikpali
552,552,B,banner,kuachpantli
553,553,B,banquet,temamatli
554,554,B,baptism,tekuakiyotl
555,555,B,baptistry,tekuatekiloyan
556,556,B,baptize,kuatekia
557,557,B,bar,uitsoktli
558,558,B,barbaro,sakachichimekatl
559,559,B,barbasco,tlakamojeuetl
560,560,B,barbechar,popoxoa
561,561,B,barbecue,nakakoyonchiuani
562,562,B,barber,teximani
563,563,B,barberia,neximaloyan
564,564,B,barefoot,kaktonki
565,565,B,bark,huajhuajpa
566,566,B,barley,tlauli
567,567,B,barman,oknaki
568,568,B,barn,kauayotlakuayan
569,569,B,barque,akaltontli
570,570,B,barrel,kuaukomitl
571,571,B,barren woman,tsitsimisiuatl
572,572,B,barrigon,xixiauak
573,573,B,bars for fitness,tepostlakoneyekoli
574,574,B,barter,tlapatiotl
575,575,B,basement,tlalankali
576,576,B,basic,moneki
577,577,B,basin,tlaxomoli
578,578,B,basket,chiquihui
579,579,B,basket of reeds,akatanatli
580,580,B,basque,vaxkatlajtoli
581,581,B,basque country,sentlaixtli
582,582,B,basqueness,vaxka
583,583,B,bastard,ipecjpempitzin
584,584,B,baston,icua
585,585,B,bat,kuautlakotl
586,586,B,bath,nealtimaloyan
587,587,B,bath sponge,tepoxaktli
588,588,B,bathe,altia
589,589,B,bathed,altik
590,590,B,bathrobe,tilmatematstli
591,591,B,bathtub,nealtikaxitl
592,592,B,baton,kuauolotli
593,593,B,battle,nekalilistli
594,594,B,battlement,altepetenankoyoktli
595,595,B,baul,kuaukaxitl
596,596,B,be,namiki
597,597,B,be a student,momachtia
598,598,B,"be a texan , being texan",texa
599,599,B,be acosto,huetzto
600,600,B,be afghan,afgania
601,601,B,be african,afrikania
602,602,B,be aguscaltense,aguaskalentia
603,603,B,be andalusian,andaloxa
604,604,B,be andorran,andorria
605,605,B,be angry,cuesito
606,606,B,be ashamed,pinaui
607,607,B,be at home,kaltsaukika
608,608,B,be aztec,asteka
609,609,B,be be be,ka
610,610,B,be beliseño,ueykopa
611,611,B,be born,nakatamali
612,612,B,be breast,nanti
613,613,B,be brother,cocoyoj
614,614,B,be burning,cocoxto
615,615,B,be canadian,kanautia
616,616,B,be canary,kanaria
617,617,B,be cantabro,kantabria
618,618,B,be clean,ejto
619,619,B,be clumsy,aneua
620,620,B,be coahuilense,koauila
621,621,B,be cold,sekui
622,622,B,be collimated,kolma
623,623,B,be crazy,cuatapolijto
624,624,B,be croatian,koasia
625,625,B,be cuban,kopa
626,626,B,be dradicado,chantito
627,627,B,be dry,huacto
628,628,B,be even,ixmanto
629,629,B,be firm,nelmelaua
630,630,B,be foreign,tlatki
631,631,B,be german,teutonia
632,632,B,be good,ka ye kuali
633,633,B,be grown,hueyitito
634,634,B,be guanajuatense,kueyatlalka
635,635,B,be guerrense,siuatlalia
636,636,B,be happy,papaki
637,637,B,be hearty,xikalankoa
638,638,B,be hebrew,yudia
639,639,B,be hidden,iyanto
640,640,B,be honored,maui
641,641,B,be hot,tonalia
642,642,B,be huasteco,kuexteka
643,643,B,be humble,neknomati
644,644,B,be hungarian,ungaria
645,645,B,be inhumno,amotlakalia
646,646,B,be jaliciense,xalixkoa
647,647,B,be jamaican,xamaikoa
648,648,B,be japanese,xaponia
649,649,B,be jordanian,xordania
650,650,B,be kenyan,kenia
651,651,B,be korean,koria
652,652,B,be loose,huehueloca
653,653,B,be lost,poloa
654,654,B,be macedonian,masedonia
655,655,B,be malaysian,malasia
656,656,B,be maltese,maltia
657,657,B,be manifest,omania
658,658,B,be maya,maya
659,659,B,be mexican,mexika
660,660,B,be michoacano,michoaka
661,661,B,be mongolian,mongolia
662,662,B,be moroccan,marrokia
663,663,B,be murcia,murxia
664,664,B,be nahua,naua
665,665,B,be namibian,namibia
666,666,B,be navarro,navarroa
667,667,B,be nayarit,naya
668,668,B,be neighbor,tepeua
669,669,B,be neoleonine,yankuik leonia
670,670,B,be new mexican,yankuik mexika
671,671,B,be noemexicano,yankuik naua
672,672,B,be oaxacan,uaxyaka
673,673,B,be of nicaragua,nikanaua
674,674,B,be pakistano,pakistania
675,675,B,be panama,panama
676,676,B,be piled,chapanto
677,677,B,be poblano,puebla
678,678,B,be polish,polonia
679,679,B,be possessed,kineua
680,680,B,be potosí,potositeka
681,681,B,be puerto rican,nekuiltonolakalkixoa
682,682,B,be quintatarroense,kintanarroa
683,683,B,be rebellious,tlakamati
684,684,B,be rude,atlakatlauajtoa
685,685,B,be sad,elaki
686,686,B,be satisfied,ixhui
687,687,B,be similar,toskaneneuilia
688,688,B,be sinaloense,xinaloa
689,689,B,be sleepy,cochisnequi
690,690,B,be somali,somalia
691,691,B,be south african,afrikauitstlalia
692,692,B,be stiff,huihuinia
693,693,B,be sudanese,sudania
694,694,B,be swedish,sueka
695,695,B,be syrian,siria
696,696,B,be tailandez,tailandia
697,697,B,be taiwandes,taiuandia
698,698,B,be tamaulipeco,tamajoliteka
699,699,B,be tamualipeco,tamajolipa
700,700,B,be terrestrial,semtlaltikpa
701,701,B,be thirsty,amiki
702,702,B,be timoriano,timoria
703,703,B,be tired,siaui
704,704,B,be tlaxcalteca,tlaxkala
705,705,B,be tunisian,tunisia
706,706,B,be turmenistani,turmenistania
707,707,B,be unfaithful,tlakanekoa
708,708,B,be urgent,osa
709,709,B,be uruguayan,urukuaria
710,710,B,be uzbek,usbekistania
711,711,B,be valencian,valensia
712,712,B,be veracruzano,totonaka
713,713,B,be vietnamese,vietnamia
714,714,B,be weak,cuetani
715,715,B,be white,istanto
716,716,B,be written,ijculijto
717,717,B,be yemeni,yemenia
718,718,B,be zacatecano,sakateka
719,719,B,be zambian,sanbia
720,720,B,be zealander,yankuik selandia
721,721,B,beach,xaltentli
722,722,B,beam,uapalitl
723,723,B,bean,auaxtli
724,724,B,bean tamal,auaxtamali
725,725,B,beans,emej
726,726,B,bear,ijiyouia
727,727,B,beard,itentzon
728,728,B,bearded,tentsonyo
729,729,B,beat,tetekuikalistli
730,730,B,beatitude,tlalnokpilualistli
731,731,B,beautiful,kualtsin
732,732,B,beautifully,ueytlamauisoltika
733,733,B,beauty,kualneskayotl
734,734,B,beaver,atusan
735,735,B,bebe,konenetl
736,736,B,"because , for",nik
737,737,B,beckon,tlaixtlalia
738,738,B,become an animal,yolkati
739,739,B,become rich,tlamachtia
740,740,B,become sectarianism,tlalnetokia
741,741,B,becoming,kaliui
742,742,B,bed,tlapechtli
743,743,B,bedroom,kochiyan
744,744,B,bee,pipiyoli
745,745,B,bee-,mimiauakaxitl
746,746,B,bee-eater,xikotototl
747,747,B,beef,kuakuaunakatl
748,748,B,beef broth,nakayotl
749,749,B,beefy,tlauapautli
750,750,B,beekeeper,mimiautekatl
751,751,B,beer,teixuinotl
752,752,B,befog,mixtli
753,753,B,before,ixpan
754,754,B,beg,iknopiluia
755,755,B,beggar,iknotlakatl
756,756,B,beginning,peualistli
757,757,B,begotten,tetlakatiliani
758,758,B,behave,yelia
759,759,B,behavior,yelistli
760,760,B,behead,kechtenqi
761,761,B,behind,itepotztaj
762,762,B,behind my,nikampa
763,763,B,behind us,tikampa
764,764,B,behind you,mikampa
765,765,B,being chinese,xina
766,766,B,being hispanic,kaxtilia
767,767,B,being indigenous,tlakatia
768,768,B,being turkish,turkia
769,769,B,being venezuelan,venesolia
770,770,B,bejuco,cuameca
771,771,B,belada,ixtlatsinilistli 
772,772,B,belen star,sitlalpoli
773,773,B,belfry,tepostlapilkoyan
774,774,B,believe,neltoka
775,775,B,believer,neltokoni
776,776,B,belize,ueykopan
777,777,B,bell,tlatsilinilistli
778,778,B,bell-shaped,tanatik
779,779,B,belly,itestlajtlakoli
780,780,B,belmopan,ueymolpan
781,781,B,beloved,siuapiltsin
782,782,B,beloved lady,siuatekutsin
783,783,B,beloved son,piltsin
784,784,B,below,tlani
785,785,B,bend,noloa
786,786,B,benefit,nemaluali
787,787,B,benignity,tlatlakayotl
788,788,B,bent,chijcolti
789,789,B,bermuda,kaltsamaxtli
790,790,B,berserk,temautli
791,791,B,beside,inacastan
792,792,B,besieged,tlaisiuitili
793,793,B,best,achi kuali
794,794,B,bestial,atlakamani:
795,795,B,betray,temaktia
796,796,B,betrayed,temaktekauak
797,797,B,better not,akmo
798,798,B,between,itzalan
799,799,B,"between , among",titlan
800,800,B,between some,tetsalan
801,801,B,between times,yeixpan
802,802,B,between trees,kuautsalan
803,803,B,between water,atitlan
804,804,B,bewitch,naualia
805,805,B,beyond,anali
806,806,B,bib,tekualantiloni
807,807,B,bible,teoamoxtli
808,808,B,biceps,akolnakayotl
809,809,B,bicilor,huixti
810,810,B,bicycle,omemalakatl
811,811,B,bienechor,teiktliani
812,812,B,bifurcate,maxa
813,813,B,bifurcation,cuamaxal
814,814,B,big lily,xomali
815,815,B,bigoton,kamatsonyo
816,816,B,bike,uisi
817,817,B,bile,ichichica
818,818,B,bilge,akalayayalistli
